Pressure,Fraction,StDev,id
0.1,0.83,0.0615,RT_F1
20,0.8272,0.0463,RT_F1
40,0.8054,0.0621,RT_F1
60,0.7677,0.0694,RT_F1
80,0.5848,0.1041,RT_F1
100,0.5093,0.1009,RT_F1
120,0.1245,0.09,RT_F1
120,0.1245,0.09,RT_F2
100,0.1056,0.086,RT_F2
80,0.1595,0.0856,RT_F2
60,0.1773,0.0824,RT_F2
40,0.2689,0.1269,RT_F2
20,0.2808,0.0742,RT_F2
0.1,0.3153,0.125,RT_F2
0.1,0.5116,0.093,7C_F1
20,0.5623,0.1318,7C_F1
40,0.4392,0.083,7C_F1
60,0.3209,0.0885,7C_F1
80,0.1816,0.0623,7C_F1
80,0.1816,0.0623,7C_F2
60,0.0535,0.0452,7C_F2
40,0.0924,0.0918,7C_F2
20,0.1454,0.1501,7C_F2
0.1,0.1209,0.1021,7C_F2